TYPE ID
spam ../Data/501/001
spam ../Data/501/002
spam ../Data/501/003
spam ../Data/501/004
spam ../Data/501/005
spam ../Data/501/006
spam ../Data/501/007
spam ../Data/501/008
spam ../Data/501/009
spam ../Data/501/010
ham ../Data/501/011
ham ../Data/501/012
spam ../Data/501/013
ham ../Data/501/014
spam ../Data/501/015
ham ../Data/501/016
ham ../Data/501/017
ham ../Data/501/018
spam ../Data/501/019
ham ../Data/501/020
ham ../Data/501/021
ham ../Data/501/022
ham ../Data/501/023
ham ../Data/501/024
ham ../Data/501/025
ham ../Data/501/026
ham ../Data/501/027
spam ../Data/501/028
spam ../Data/501/029
spam ../Data/501/030
spam ../Data/501/031
spam ../Data/501/032
ham ../Data/501/033
spam ../Data/501/034
spam ../Data/501/035
spam ../Data/501/036
spam ../Data/501/037
spam ../Data/501/038
spam ../Data/501/039
ham ../Data/501/040
ham ../Data/501/041
ham ../Data/501/042
ham ../Data/501/043
spam ../Data/501/044
ham ../Data/501/045
ham ../Data/501/046
ham ../Data/501/047
spam ../Data/501/048
spam ../Data/501/049
ham ../Data/501/050
ham ../Data/501/051
spam ../Data/501/052
ham ../Data/501/053
ham ../Data/501/054
ham ../Data/501/055
spam ../Data/501/056
spam ../Data/501/057
spam ../Data/501/058
spam ../Data/501/059
spam ../Data/501/060
spam ../Data/501/061
spam ../Data/501/062
ham ../Data/501/063
ham ../Data/501/064
ham ../Data/501/065
spam ../Data/501/066
ham ../Data/501/067
ham ../Data/501/068
ham ../Data/501/069
ham ../Data/501/070
ham ../Data/501/071
ham ../Data/501/072
ham ../Data/501/073
ham ../Data/501/074
spam ../Data/501/075
ham ../Data/501/076
spam ../Data/501/077
ham ../Data/501/078
ham ../Data/501/079
ham ../Data/501/080
ham ../Data/501/081
ham ../Data/501/082
spam ../Data/501/083
spam ../Data/501/084
ham ../Data/501/085
ham ../Data/501/086
spam ../Data/501/087
ham ../Data/501/088
ham ../Data/501/089
ham ../Data/501/090
ham ../Data/501/091
spam ../Data/501/092
ham ../Data/501/093
ham ../Data/501/094
ham ../Data/501/095
ham ../Data/501/096
ham ../Data/501/097
spam ../Data/501/098
spam ../Data/501/099
ham ../Data/501/100
spam ../Data/502/001
ham ../Data/502/002
ham ../Data/502/003
ham ../Data/502/004
ham ../Data/502/005
spam ../Data/502/006
spam ../Data/502/007
ham ../Data/502/008
spam ../Data/502/009
spam ../Data/502/010
spam ../Data/502/011
spam ../Data/502/012
spam ../Data/502/013
spam ../Data/502/014
spam ../Data/502/015
ham ../Data/502/016
ham ../Data/502/017
spam ../Data/502/018
spam ../Data/502/019
ham ../Data/502/020
ham ../Data/502/021
ham ../Data/502/022
spam ../Data/502/023
ham ../Data/502/024
ham ../Data/502/025
spam ../Data/502/026
spam ../Data/502/027
spam ../Data/502/028
spam ../Data/502/029
spam ../Data/502/030
spam ../Data/502/031
spam ../Data/502/032
spam ../Data/502/033
spam ../Data/502/034
ham ../Data/502/035
spam ../Data/502/036
ham ../Data/502/037
spam ../Data/502/038
spam ../Data/502/039
ham ../Data/502/040
spam ../Data/502/041
spam ../Data/502/042
